1f6ac,smoking,🚬
2620,skull_crossbones,☠
26b0,coffin,⚰
26b1,urn,⚱
1f3fa,amphora,🏺
1f52e,crystal_ball,🔮
1f4ff,prayer_beads,📿
1f488,barber,💈
2697,alembic,⚗
1f52d,telescope,🔭
1f52c,microscope,🔬
1f573,hole,🕳
1f48a,pill,💊
1f489,syringe,💉
1f321,thermometer,🌡
1f3f7,label,🏷
1f516,bookmark,🔖
1f6bd,toilet,🚽
1f6bf,shower,🚿
1f6c1,bathtub,🛁
1f511,key,🔑
1f5dd,key2,🗝
1f6cb,couch,🛋
1f6cc,sleeping_accommodation,🛌
1f6cf,bed,🛏
1f6aa,door,🚪
1f6ce,bellhop,🛎
1f5bc,frame_photo,🖼
1f5fa,map,🗺
26f1,beach_umbrella,⛱
1f5ff,moyai,🗿
1f6cd,shopping_bags,🛍
1f388,balloon,🎈
1f38f,flags,🎏
1f380,ribbon,🎀
1f381,gift,🎁
1f38a,confetti_ball,🎊
1f389,tada,🎉
1f38e,dolls,🎎
1f390,wind_chime,🎐
1f38c,crossed_flags,🎌
1f3ee,izakaya_lantern,🏮
2709,envelope,✉
1f4e9,envelope_with_arrow,📩
1f4e8,incoming_envelope,📨
1f4e7,e-mail,📧
1f48c,love_letter,💌
1f4ee,postbox,📮
1f4ea,mailbox_closed,📪
1f4eb,mailbox,📫
1f4ec,mailbox_with_mail,📬
1f4ed,mailbox_with_no_mail,📭
1f4e6,package,📦
1f4ef,postal_horn,📯
1f4e5,inbox_tray,📥
1f4e4,outbox_tray,📤
1f4dc,scroll,📜
1f4c3,page_with_curl,📃
1f4d1,bookmark_tabs,📑
1f4ca,bar_chart,📊
1f4c8,chart_with_upwards_trend,📈
1f4c9,chart_with_downwards_trend,📉
1f4c4,page_facing_up,📄
1f4c5,date,📅
1f4c6,calendar,📆
1f5d3,calendar_spiral,🗓
1f4c7,card_index,📇
1f5c3,card_box,🗃
1f5f3,ballot_box,🗳
1f5c4,file_cabinet,🗄
1f4cb,clipboard,📋
1f5d2,notepad_spiral,🗒
1f4c1,file_folder,📁
1f4c2,open_file_folder,📂
1f5c2,dividers,🗂
1f5de,newspaper2,🗞
1f4f0,newspaper,📰
1f4d3,notebook,📓
1f4d5,closed_book,📕
1f4d7,green_book,📗
1f4d8,blue_book,📘
1f4d9,orange_book,📙
1f4d4,notebook_with_decorative_cover,📔
1f4d2,ledger,📒
1f4da,books,📚
1f4d6,book,📖
1f517,link,🔗
1f4ce,paperclip,📎
1f587,paperclips,🖇
2702,scissors,✂
1f4d0,triangular_ruler,📐
1f4cf,straight_ruler,📏
1f4cc,pushpin,📌
1f4cd,round_pushpin,📍
1f6a9,triangular_flag_on_post,🚩
1f3f3,flag_white,🏳
1f3f4,flag_black,🏴
1f510,closed_lock_with_key,🔐
1f512,lock,🔒
1f513,unlock,🔓
1f50f,lock_with_ink_pen,🔏
1f58a,pen_ballpoint,🖊
1f58b,pen_fountain,🖋
2712,black_nib,✒
1f4dd,pencil,📝
270f,pencil2,✏
1f58d,crayon,🖍
1f58c,paintbrush,🖌
1f50d,mag,🔍
1f50e,mag_right,🔎
1f4af,100,💯
1f522,1234,🔢
2764,heart,❤
1f49b,yellow_heart,💛
1f49a,green_heart,💚
1f499,blue_heart,💙
1f49c,purple_heart,💜
1f494,broken_heart,💔
2763,heart_exclamation,❣
1f495,two_hearts,💕
1f49e,revolving_hearts,💞
1f493,heartbeat,💓
1f497,heartpulse,💗
1f496,sparkling_heart,💖
1f498,cupid,💘
1f49d,gift_heart,💝
1f49f,heart_decoration,💟
262e,peace,☮
271d,cross,✝
262a,star_and_crescent,☪
1f549,om_symbol,🕉
2638,wheel_of_dharma,☸
2721,star_of_david,✡
1f52f,six_pointed_star,🔯
1f54e,menorah,🕎
262f,yin_yang,☯
2626,orthodox_cross,☦
1f6d0,place_of_worship,🛐
26ce,ophiuchus,⛎
2648,aries,♈
2649,taurus,♉
264a,gemini,♊
264b,cancer,♋
264c,leo,♌
264d,virgo,♍
264e,libra,♎
264f,scorpius,♏
2650,sagittarius,♐
2651,capricorn,♑
2652,aquarius,♒
2653,pisces,♓
1f194,id,🆔
269b,atom,⚛
1f233,u7a7a,🈳
1f239,u5272,🈹
2622,radioactive,☢
2623,biohazard,☣
1f4f4,mobile_phone_off,📴
1f4f3,vibration_mode,📳
1f236,u6709,🈶
1f21a,u7121,🈚
1f238,u7533,🈸
1f23a,u55b6,🈺
1f237,u6708,🈷
2734,eight_pointed_black_star,✴
1f19a,vs,🆚
1f251,accept,🉑
1f4ae,white_flower,💮
1f250,ideograph_advantage,🉐
3299,secret,㊙
3297,congratulations,㊗
1f234,u5408,🈴
1f235,u6e80,🈵
1f232,u7981,🈲
1f170,a,🅰
1f171,b,🅱
1f18e,ab,🆎
1f191,cl,🆑
1f17e,o2,🅾
1f198,sos,🆘
26d4,no_entry,⛔
1f4db,name_badge,📛
1f6ab,no_entry_sign,🚫
274c,x,❌
2b55,o,⭕
1f4a2,anger,💢
2668,hotsprings,♨
1f6b7,no_pedestrians,🚷
1f6af,do_not_litter,🚯
1f6b3,no_bicycles,🚳
1f6b1,non-potable_water,🚱
1f51e,underage,🔞
1f4f5,no_mobile_phones,📵
2757,exclamation,❗
2755,grey_exclamation,❕
2753,question,❓
2754,grey_question,❔
203c,bangbang,‼
2049,interrobang,⁉
1f505,low_brightness,🔅
1f506,high_brightness,🔆
1f531,trident,🔱
269c,fleur-de-lis,⚜
303d,part_alternation_mark,〽
26a0,warning,⚠
1f6b8,children_crossing,🚸
1f530,beginner,🔰
267b,recycle,♻
1f22f,u6307,🈯
1f4b9,chart,💹
2747,sparkle,❇
2733,eight_spoked_asterisk,✳
274e,negative_squared_cross_mark,❎
2705,white_check_mark,✅
1f4a0,diamond_shape_with_a_dot_inside,💠
1f300,cyclone,🌀
27bf,loop,➿
1f310,globe_with_meridians,🌐
24c2,m,Ⓜ
1f3e7,atm,🏧
1f202,sa,🈂
1f6c2,passport_control,🛂
1f6c3,customs,🛃
1f6c4,baggage_claim,🛄
1f6c5,left_luggage,🛅
267f,wheelchair,♿
1f6ad,no_smoking,🚭
1f6be,wc,🚾
1f17f,parking,🅿
1f6b0,potable_water,🚰
1f6b9,mens,🚹
1f6ba,womens,🚺
1f6bc,baby_symbol,🚼
1f6bb,restroom,🚻
1f6ae,put_litter_in_its_place,🚮
1f3a6,cinema,🎦
1f4f6,signal_strength,📶
1f201,koko,🈁
1f196,ng,🆖
1f197,ok,🆗
1f199,up,🆙
1f192,cool,🆒
1f195,new,🆕
1f193,free,🆓
0030-20e3,zero,0⃣
0031-20e3,one,1⃣
0032-20e3,two,2⃣
0033-20e3,three,3⃣
0034-20e3,four,4⃣
0035-20e3,five,5⃣
